Title,Status,Priority,MoSCoW,Module,Epic,PRD ID,Description
"[S13] As a new user, I want an onboarding step to upload my spreadsheet (CSV/Excel or a Google S…",To Do,High,Must,Authentication & Onboarding,1.C Initial Roster Import,S13,"As a new user, I want an onboarding step to upload my spreadsheet (CSV/Excel or a Google Sheets export) to import my roster, so that I don't have to add animals one by one."
"[S14] As a new user, I want to Skip the import step and add animals individually later, so that …",To Do,High,Must,Authentication & Onboarding,1.C Initial Roster Import,S14,"As a new user, I want to Skip the import step and add animals individually later, so that a messy spreadsheet never blocks me from getting started."
"[S103] As a new user, after import I want a summary that surfaces any detected co-owners/investor…",To Do,Medium,Should,Authentication & Onboarding,1.C Initial Roster Import,S103,"As a new user, after import I want a summary that surfaces any detected co-owners/investors in my sheet and lets me send them invites in one step, so that partners get connected right away."
"[S16] As a user, I want plans to clearly show the yearly charge (with the monthly equivalent) an…",To Do,High,Must,Subscription & Billing,2.A Plan Selection,S16,"As a user, I want plans to clearly show the yearly charge (with the monthly equivalent) and that I can upgrade anytime, so that I understand the real commitment before paying."
"[S18] As a user, I want to toggle between the Owner and Partner plan views, so that I see the pr…",To Do,High,Must,Subscription & Billing,2.A Plan Selection,S18,"As a user, I want to toggle between the Owner and Partner plan views, so that I see the pricing relevant to my role."
"[S115] As a hesitant new user, I want a 30-day free trial before I'm charged, so that I can evalu…",To Do,High,Must,Subscription & Billing,2.A Plan Selection,S115,"As a hesitant new user, I want a 30-day free trial before I'm charged, so that I can evaluate the product before committing."
"[S20] As a user, I want to confirm my subscription and pay by card, so that I can activate my pl…",To Do,High,Must,Subscription & Billing,2.B Checkout & Payment,S20,"As a user, I want to confirm my subscription and pay by card, so that I can activate my plan."
"[S21] As a user, I want a fast in-app payment — Apple in-app purchase on iOS, or card/Apple Pay …",To Do,High,Must,Subscription & Billing,2.B Checkout & Payment,S21,"As a user, I want a fast in-app payment — Apple in-app purchase on iOS, or card/Apple Pay on Android & web — so that checkout is quick on my device."
"[S22] As a user, I want a clear summary of what I'm paying (""Pro plan — $99, billed yearly"") and…",To Do,High,Must,Subscription & Billing,2.B Checkout & Payment,S22,"As a user, I want a clear summary of what I'm paying (""Pro plan — $99, billed yearly"") and reassurance I can cancel anytime, so that I pay with confidence."
"[S23] As a user, I want a receipt sent to my email after payment, so that I have a record.",To Do,High,Must,Subscription & Billing,2.B Checkout & Payment,S23,"As a user, I want a receipt sent to my email after payment, so that I have a record."
"[S24] As a user, I want a ""Go back"" option at checkout, so that I can change my plan before payi…",To Do,High,Must,Subscription & Billing,2.B Checkout & Payment,S24,"As a user, I want a ""Go back"" option at checkout, so that I can change my plan before paying."
"[S25] As a user, I want to see how many active animals I'm using against my plan limit (e.g., ""4…",To Do,High,Must,Subscription & Billing,2.C Usage Limits & Upgrades,S25,"As a user, I want to see how many active animals I'm using against my plan limit (e.g., ""47 / 200"") with a usage bar, so that I know how much room I have."
"[S26] As a user, when I approach or exceed my active-animal limit I want to be alerted and promp…",To Do,High,Must,Subscription & Billing,2.C Usage Limits & Upgrades,S26,"As a user, when I approach or exceed my active-animal limit I want to be alerted and prompted to upgrade — but never blocked; the action proceeds and any overage is added to my next bill."
"[S27] As a user, I want to change my plan from settings, so that I can upgrade as my herd grows.",To Do,High,Must,Subscription & Billing,2.C Usage Limits & Upgrades,S27,"As a user, I want to change my plan from settings, so that I can upgrade as my herd grows."
"[S28] As a user, I want to see my other usage (media storage used, number of team members), so t…",To Do,Medium,Should,Subscription & Billing,2.C Usage Limits & Upgrades,S28,"As a user, I want to see my other usage (media storage used, number of team members), so that I understand the full picture of my account."
"[S29] As a user, I want to see a list of all animals I have access to immediately after login, s…",To Do,High,Must,Inventory Management,3.A Roster & Search,S29,"As a user, I want to see a list of all animals I have access to immediately after login, so that the inventory is my home base."
"[S30] As a user, I want each animal to appear once and be easy to recognize at a glance (name + …",To Do,High,Must,Inventory Management,3.A Roster & Search,S30,"As a user, I want each animal to appear once and be easy to recognize at a glance (name + Brand ID), so that I trust the list."
"[S31] As a user, I want to search the roster by name, Brand ID, and other key fields, so that I …",To Do,High,Must,Inventory Management,3.A Roster & Search,S31,"As a user, I want to search the roster by name, Brand ID, and other key fields, so that I can find an animal without scrolling."
"[S32] As a user, I want to filter the roster by Type and Status (and more filters), so that I ca…",To Do,High,Must,Inventory Management,3.A Roster & Search,S32,"As a user, I want to filter the roster by Type and Status (and more filters), so that I can narrow to the animals I care about."
"[S33] As a user, I want a roster header summary (e.g., ""47 animals on your roster · 39 active · …",To Do,High,Must,Inventory Management,3.A Roster & Search,S33,"As a user, I want a roster header summary (e.g., ""47 animals on your roster · 39 active · 8 inactive""), so that I understand my herd at a glance."
"[S34] As a user, I want the roster to stay fast and paginated with both small and large numbers …",To Do,High,Must,Inventory Management,3.A Roster & Search,S34,"As a user, I want the roster to stay fast and paginated with both small and large numbers of animals, so that performance never gets in my way."
"[S35] As a user, I want to export my roster, so that I can use the data outside the product when…",To Do,Medium,Should,Inventory Management,3.A Roster & Search,S35,"As a user, I want to export my roster, so that I can use the data outside the product when needed."
"[S36] As a user, I want to add a single animal quickly on web or mobile, where the only required…",To Do,High,Must,Inventory Management,3.B Add & Edit Animals,S36,"As a user, I want to add a single animal quickly on web or mobile, where the only required fields are Brand ID and birth date, so that I can do it without help."
"[S37] As a user, I want a newly added animal to appear in my inventory immediately, so that I tr…",To Do,High,Must,Inventory Management,3.B Add & Edit Animals,S37,"As a user, I want a newly added animal to appear in my inventory immediately, so that I trust it was saved."
"[S38] As a user, I want to edit an animal's details later, so that the record stays accurate ove…",To Do,High,Must,Inventory Management,3.B Add & Edit Animals,S38,"As a user, I want to edit an animal's details later, so that the record stays accurate over time."
"[S39] As a user, I want to record ownership and partnership for an animal (primary owner and own…",To Do,High,Must,Inventory Management,3.B Add & Edit Animals,S39,"As a user, I want to record ownership and partnership for an animal (primary owner and ownership percentages), so that everyone's stake is documented."
"[S104] As a user, I want to set whether the animal is a cow or a bull and optionally record its A…",To Do,High,Must,Inventory Management,3.B Add & Edit Animals,S104,"As a user, I want to set whether the animal is a cow or a bull and optionally record its ABBI number, so that the record reflects sex and registry identity."
"[S40] As a user, I want selecting an animal to open a dedicated profile, so that I have one plac…",To Do,High,Must,Inventory Management,3.C Animal Profile (System of Record),S40,"As a user, I want selecting an animal to open a dedicated profile, so that I have one place for everything about it."
"[S41] As a user, I want the profile header to show the animal's name, Brand ID, status, and a he…",To Do,High,Must,Inventory Management,3.C Animal Profile (System of Record),S41,"As a user, I want the profile header to show the animal's name, Brand ID, status, and a hero image, so that I instantly recognize the animal."
"[S42] As a user, I want an Ownership section showing each owner, their role, and their ownership…",To Do,High,Must,Inventory Management,3.C Animal Profile (System of Record),S42,"As a user, I want an Ownership section showing each owner, their role, and their ownership percentage, so that every stake is clear at a glance."
"[S43] As a user, I want a Lineage section showing sire and dam, so that I and my partners can re…",To Do,High,Must,Inventory Management,3.C Animal Profile (System of Record),S43,"As a user, I want a Lineage section showing sire and dam, so that I and my partners can review bloodline."
"[S95] As a user, I want the profile to be the anchor for all of that animal's media, with a Rece…",To Do,High,Must,Inventory Management,3.C Animal Profile (System of Record),S95,"As a user, I want the profile to be the anchor for all of that animal's media, with a Recent media gallery and a ""view all"", so that media never gets disconnected from the animal."
"[S96] As a user, I want the profile to remain consistent and identifiable over time, even when o…",To Do,High,Must,Inventory Management,3.C Animal Profile (System of Record),S96,"As a user, I want the profile to remain consistent and identifiable over time, even when ownership changes, so that history is never lost."
"[S97] As a user, I want a Performance section with a headline score, so that I can gauge the ani…",To Do,Medium,Should,Inventory Management,3.C Animal Profile (System of Record),S97,"As a user, I want a Performance section with a headline score, so that I can gauge the animal's standing quickly."
"[S98] As a user, I want a Competition history list (event, date, score) on the profile, so that …",To Do,Medium,Should,Inventory Management,3.C Animal Profile (System of Record),S98,"As a user, I want a Competition history list (event, date, score) on the profile, so that I can follow how the animal has performed."
"[S99] As a user, I want a Notes & comments thread on the profile, so that stakeholders can discu…",To Do,Medium,Should,Inventory Management,3.C Animal Profile (System of Record),S99,"As a user, I want a Notes & comments thread on the profile, so that stakeholders can discuss the animal in context (ties to Story 64)."
"[S100] As a user, I want a quick-actions rail on the profile (add event, update status, upload me…",To Do,Medium,Should,Inventory Management,3.C Animal Profile (System of Record),S100,"As a user, I want a quick-actions rail on the profile (add event, update status, upload media), so that I can act without leaving the page."
"[S45] As a user, I want a guided template that tells me what columns are expected, so that my sp…",To Do,High,Must,Inventory Management,3.D Bulk Import,S45,"As a user, I want a guided template that tells me what columns are expected, so that my spreadsheet imports cleanly."
"[S46] As a user, I want the system to flag duplicate or colliding Brand IDs during import and le…",To Do,High,Must,Inventory Management,3.D Bulk Import,S46,"As a user, I want the system to flag duplicate or colliding Brand IDs during import and let me resolve them, so that I don't create conflicting records."
"[S47] As a user, I want to see which rows imported successfully and which need attention, so tha…",To Do,High,Must,Inventory Management,3.D Bulk Import,S47,"As a user, I want to see which rows imported successfully and which need attention, so that I trust the result and can fix problems."
"[S48] As a user, I want to import from both the onboarding wizard and from inside Inventory late…",To Do,Medium,Should,Inventory Management,3.D Bulk Import,S48,"As a user, I want to import from both the onboarding wizard and from inside Inventory later, so that I can grow my roster anytime."
"[S49] As a user, I want to multi-select animals and update their status in bulk, so that I can m…",To Do,High,Must,Inventory Management,3.E Bulk Actions & Lifecycle,S49,"As a user, I want to multi-select animals and update their status in bulk, so that I can manage the herd efficiently."
"[S50] As a user, I want to multi-select animals to add tags, add them to an event, or change the…",To Do,High,Must,Inventory Management,3.E Bulk Actions & Lifecycle,S50,"As a user, I want to multi-select animals to add tags, add them to an event, or change their location in bulk, so that I save time on repetitive actions."
"[S105] As a user, I want my multi-select to persist as I move between paginated pages, so that I …",To Do,High,Must,Inventory Management,3.E Bulk Actions & Lifecycle,S105,"As a user, I want my multi-select to persist as I move between paginated pages, so that I can act on a large set without losing my selection."
"[S51] As a user, I want sold/retired animals to remain viewable as ""ghost inventory"" rather than…",To Do,High,Must,Inventory Management,3.E Bulk Actions & Lifecycle,S51,"As a user, I want sold/retired animals to remain viewable as ""ghost inventory"" rather than disappearing, so that I keep their history."
"[S52] As a user, I want system-critical statuses (Active, Sold, Retired, In Care/Inactive) to be…",To Do,High,Must,Inventory Management,3.E Bulk Actions & Lifecycle,S52,"As a user, I want system-critical statuses (Active, Sold, Retired, In Care/Inactive) to be protected from deletion, so that the lifecycle stays consistent."
"[S53] As a rancher, I want to capture photos and videos with a point-and-shoot camera directly i…",To Do,High,Must,Media Management,4.A Capture & Upload,S53,"As a rancher, I want to capture photos and videos with a point-and-shoot camera directly in the app, so that I don't fill up my personal phone storage."
"[S54] As a user, I want to upload photos and videos and add external links (YouTube/Instagram/UR…",To Do,High,Must,Media Management,4.A Capture & Upload,S54,"As a user, I want to upload photos and videos and add external links (YouTube/Instagram/URL) as media, from web and mobile, so that I can add media however I work."
"[S55] As a user, I want each piece of media to be associated with the correct animal, so that it…",To Do,High,Must,Media Management,4.A Capture & Upload,S55,"As a user, I want each piece of media to be associated with the correct animal, so that it's never orphaned."
"[S106] As a user, I want to delete media I've uploaded, so that I can remove mistakes or unwanted…",To Do,High,Must,Media Management,4.A Capture & Upload,S106,"As a user, I want to delete media I've uploaded, so that I can remove mistakes or unwanted items."
"[S56] As a rancher in a pasture with no signal, I want my captured media and its details saved t…",To Do,High,Must,Media Management,4.B Offline Reliability,S56,"As a rancher in a pasture with no signal, I want my captured media and its details saved to a local retry queue, so that nothing is lost."
"[S57] As a rancher, I want queued media to upload automatically once I'm back in service, so tha…",To Do,High,Must,Media Management,4.B Offline Reliability,S57,"As a rancher, I want queued media to upload automatically once I'm back in service, so that I don't have to remember to retry."
"[S58] As a rancher, I want to see the status of pending uploads (queued / uploading / done), so …",To Do,High,Must,Media Management,4.B Offline Reliability,S58,"As a rancher, I want to see the status of pending uploads (queued / uploading / done), so that I trust everything made it."
"[S59] As a user, I want to tag media with the Brand ID and custom tags, so that it's organized a…",To Do,High,Must,Media Management,4.C Organize & Find,S59,"As a user, I want to tag media with the Brand ID and custom tags, so that it's organized and findable."
"[S60] As a user, I want to mark each media item Public or Private, so that I control what partne…",To Do,High,Must,Media Management,4.C Organize & Find,S60,"As a user, I want to mark each media item Public or Private, so that I control what partners and owners can see."
"[S61] As a user, I want to browse, search, and filter the media gallery (by animal, Brand ID, ty…",To Do,High,Must,Media Management,4.C Organize & Find,S61,"As a user, I want to browse, search, and filter the media gallery (by animal, Brand ID, type), so that I can find footage quickly."
"[S62] As a user, I want to see all media for a given animal in one place from its profile, so th…",To Do,High,Must,Media Management,4.C Organize & Find,S62,"As a user, I want to see all media for a given animal in one place from its profile, so that the animal's record is complete."
"[S63] As a user, I want media items to show key context at a glance (animal name, Brand ID, stat…",To Do,Medium,Should,Media Management,4.C Organize & Find,S63,"As a user, I want media items to show key context at a glance (animal name, Brand ID, status, owner, date), so that I can scan the gallery efficiently."
"[S107] As a user, I want to mark one photo as an animal's favorite/cover image, so that it repres…",To Do,Medium,Should,Media Management,4.C Organize & Find,S107,"As a user, I want to mark one photo as an animal's favorite/cover image, so that it represents the animal in roster tables."
"[S108] As a user, I want to gather a set of media and share the collection with a specific contac…",To Do,Medium,Should,Media Management,4.C Organize & Find,S108,"As a user, I want to gather a set of media and share the collection with a specific contact from the media page, so that I can send footage to a stakeholder directly."
"[S64] As a partner or owner, I want to leave threaded comments on an animal profile or media ite…",To Do,High,Must,Media Management,4.D Comments,S64,"As a partner or owner, I want to leave threaded comments on an animal profile or media item (e.g., ""Looks great today!""), so that I can engage without texting the rancher."
"[S65] As a user, I want a personalized dashboard showing my key metrics (active animals, upcomin…",To Do,High,Must,Dashboard & Notifications,5.A Home Dashboard,S65,"As a user, I want a personalized dashboard showing my key metrics (active animals, upcoming events, sold animals), so that I understand my operation at a glance."
"[S68] As a new user, I want a Day-1 welcome and a setup checklist, so that I know what to do to …",To Do,High,Must,Dashboard & Notifications,5.A Home Dashboard,S68,"As a new user, I want a Day-1 welcome and a setup checklist, so that I know what to do to get fully set up."
"[S69] As a user, I want clear empty states when there's nothing to show, so that the product nev…",To Do,High,Must,Dashboard & Notifications,5.A Home Dashboard,S69,"As a user, I want clear empty states when there's nothing to show, so that the product never feels broken."
"[S71] As a user with more than one location, I want to switch the dashboard's location context, …",To Do,Medium,Should,Dashboard & Notifications,5.A Home Dashboard,S71,"As a user with more than one location, I want to switch the dashboard's location context, so that I can focus on one operation at a time."
"[S72] As a rancher, I want stakeholders to be notified automatically when I post public media or…",To Do,High,Must,Dashboard & Notifications,5.B Stakeholder Notifications,S72,"As a rancher, I want stakeholders to be notified automatically when I post public media or a notable update, so that I no longer have to text and email everyone."
"[S73] As a partner/owner, I want to receive a notification (push, SMS, or email) when there's an…",To Do,High,Must,Dashboard & Notifications,5.B Stakeholder Notifications,S73,"As a partner/owner, I want to receive a notification (push, SMS, or email) when there's an update on an animal I'm associated with, so that I stay informed without asking."
"[S74] As a user, I want notifications to respect an animal's Public/Private visibility, so that …",To Do,Medium,Should,Dashboard & Notifications,5.B Stakeholder Notifications,S74,"As a user, I want notifications to respect an animal's Public/Private visibility, so that private media never triggers a broadcast."
"[S75] As a user, I want to see upcoming and past events in separate tabs with date, name, locati…",To Do,High,Must,Events & Competitions,6.A Event Roster,S75,"As a user, I want to see upcoming and past events in separate tabs with date, name, location, and associated animals, so that I can plan and review."
"[S76] As a user, I want to add an event manually, so that my calendar reflects reality.",To Do,High,Must,Events & Competitions,6.A Event Roster,S76,"As a user, I want to add an event manually, so that my calendar reflects reality."
"[S77] As a user, I want to associate animals with an event (including bulk ""add to event"" from I…",To Do,High,Must,Events & Competitions,6.A Event Roster,S77,"As a user, I want to associate animals with an event (including bulk ""add to event"" from Inventory), so that I track which animals are competing where."
"[S78] As a user, I want to import and export events, so that I can move data in and out efficien…",To Do,High,Must,Events & Competitions,6.A Event Roster,S78,"As a user, I want to import and export events, so that I can move data in and out efficiently."
"[S112] As a user, I want event data pulled in from the external event source (via extraction/scra…",To Do,High,Must,Events & Competitions,6.A Event Roster,S112,"As a user, I want event data pulled in from the external event source (via extraction/scraping), so that I don't have to enter every event by hand."
"[S79] As a user, I want events to be paginated and searchable, so that a long history stays mana…",To Do,Medium,Should,Events & Competitions,6.A Event Roster,S79,"As a user, I want events to be paginated and searchable, so that a long history stays manageable."
"[S111] As a mobile user side-scrolling the events table, I want the date column to stay sticky, s…",To Do,Medium,Should,Events & Competitions,6.A Event Roster,S111,"As a mobile user side-scrolling the events table, I want the date column to stay sticky, so that rows stay readable."
"[S80] As a user, I want to log that an animal competed at an event, so that its participation is…",To Do,High,Must,Events & Competitions,6.B Competition Tracking,S80,"As a user, I want to log that an animal competed at an event, so that its participation is recorded."
"[S81] As a partner/owner, I want competition activity to appear in Recent Activity and on the an…",To Do,High,Must,Events & Competitions,6.B Competition Tracking,S81,"As a partner/owner, I want competition activity to appear in Recent Activity and on the animal's profile, so that I can follow performance."
"[S83] As a user, I want to edit my profile (photo, name, contact email), so that my account refl…",To Do,High,Must,Settings & Configuration,7.A Profile & Location,S83,"As a user, I want to edit my profile (photo, name, contact email), so that my account reflects who I am."
"[S84] As a user, I want to edit my operation details (name, state, phone, website), so that my o…",To Do,High,Must,Settings & Configuration,7.A Profile & Location,S84,"As a user, I want to edit my operation details (name, state, phone, website), so that my operation info is correct."
"[S113] As a user, I want to manage my locations (the places I keep animals), so that inventory an…",To Do,High,Must,Settings & Configuration,7.A Profile & Location,S113,"As a user, I want to manage my locations (the places I keep animals), so that inventory and ""change location"" reflect reality."
"[S114] As a user, I want a unique Ranch ID in my settings, so that partners can be linked to my r…",To Do,High,Must,Settings & Configuration,7.A Profile & Location,S114,"As a user, I want a unique Ranch ID in my settings, so that partners can be linked to my ranch across operations."
"[S86] As a user, I want to customize animal types (Bull, Cow, Heifer, Calf, Embryos, …), so that…",To Do,High,Must,Settings & Configuration,7.B Roster Taxonomy,S86,"As a user, I want to customize animal types (Bull, Cow, Heifer, Calf, Embryos, …), so that the roster matches my operation."
"[S87] As a user, I want to customize animal statuses, so that the lifecycle labels fit how I wor…",To Do,High,Must,Settings & Configuration,7.B Roster Taxonomy,S87,"As a user, I want to customize animal statuses, so that the lifecycle labels fit how I work."
"[S88] As a user, I want to manage bloodlines/custom labels, so that lineage is consistent across…",To Do,High,Must,Settings & Configuration,7.B Roster Taxonomy,S88,"As a user, I want to manage bloodlines/custom labels, so that lineage is consistent across my animals."
"[S89] As a user, I want system-critical statuses and basic types to be protected from deletion, …",To Do,High,Must,Settings & Configuration,7.B Roster Taxonomy,S89,"As a user, I want system-critical statuses and basic types to be protected from deletion, so that core lifecycle behavior stays intact."
"[S90] As a user, I want a partner directory listing everyone with access — their name, email, ph…",To Do,High,Must,Settings & Configuration,7.C Partners & Permissions,S90,"As a user, I want a partner directory listing everyone with access — their name, email, phone, role, animal count, and status (Active/Pending), so that I know who's involved."
"[S91] As a user, I want to invite partners by email/SMS from the directory, so that I can grant …",To Do,High,Must,Settings & Configuration,7.C Partners & Permissions,S91,"As a user, I want to invite partners by email/SMS from the directory, so that I can grant access quickly."
"[S92] As a user, I want roles (Rancher, Owner, Partner) to map to a clear permissions matrix (e.…",To Do,High,Must,Settings & Configuration,7.C Partners & Permissions,S92,"As a user, I want roles (Rancher, Owner, Partner) to map to a clear permissions matrix (e.g., partners are read-only and own-only), so that people only see and do what they should."
"[S93] As a user adding an animal, I want to assign an existing partner — or add and invite a new…",To Do,High,Must,Settings & Configuration,7.C Partners & Permissions,S93,"As a user adding an animal, I want to assign an existing partner — or add and invite a new one inline if they're not in the list — so that ownership is captured at the moment I record the animal."
"[S94] As a user, I want to view and change my subscription and payment method from settings, so …",To Do,High,Must,Settings & Configuration,7.D Subscription Management,S94,"As a user, I want to view and change my subscription and payment method from settings, so that I can manage billing in one place."
