Issue Type,Summary,Description,Epic Name,Epic Link,Priority,Components,Labels,Labels,Labels,Status
Story,"[S6] As a user, I want a ""Remember me"" option on login, so that I stay signed in on my own device.","As a user, I want a ""Remember me"" option on login, so that I stay signed in on my own device.  ||  Module: Authentication & Onboarding | Epic: 1.A Account Access | PRD Story #6 | Should-have",,1.A Account Access,Medium,Authentication & Onboarding,MVP,Should,PRD-S6,To Do
Story,"[S102] As a new user, I want to confirm my email with a one-time code after signing up, so that my account is verified.","As a new user, I want to confirm my email with a one-time code after signing up, so that my account is verified. *(Per Design Review 2 — inclusion in v1 still under discussion.)*  ||  Module: Authentication & Onboarding | Epic: 1.A Account Access | PRD Story #102 | Should-have",,1.A Account Access,Medium,Authentication & Onboarding,MVP,Should,PRD-S102,To Do
Story,"[S9] As a new Owner/Rancher, I want a short setup step asking my name, ranch/organization, and state (phone optional), so that the product is set up the right way for me.","As a new Owner/Rancher, I want a short setup step asking my name, ranch/organization, and state (phone optional), so that the product is set up the right way for me.  ||  Module: Authentication & Onboarding | Epic: 1.B Operation Setup Wizard | PRD Story #9 | Must-have",,1.B Operation Setup Wizard,High,Authentication & Onboarding,MVP,Must,PRD-S9,To Do
Story,"[S10] As a new user, I want the setup to be a clear, numbered, multi-step flow (plan → operation → inventory) with visible progress, so that I always know how far along I am.","As a new user, I want the setup to be a clear, numbered, multi-step flow (plan → operation → inventory) with visible progress, so that I always know how far along I am.  ||  Module: Authentication & Onboarding | Epic: 1.B Operation Setup Wizard | PRD Story #10 | Must-have",,1.B Operation Setup Wizard,High,Authentication & Onboarding,MVP,Must,PRD-S10,To Do
Story,"[S11] As a new user, I want a confirmation screen after setup (""You're in!"") that summarizes my plan and points me to set up my profile, so that I feel confident the setup worked.","As a new user, I want a confirmation screen after setup (""You're in!"") that summarizes my plan and points me to set up my profile, so that I feel confident the setup worked.  ||  Module: Authentication & Onboarding | Epic: 1.B Operation Setup Wizard | PRD Story #11 | Must-have",,1.B Operation Setup Wizard,High,Authentication & Onboarding,MVP,Must,PRD-S11,To Do
Story,"[S12] As a new user, I want to be told I can add more ranches and locations later, so that I don't feel I must get everything perfect up front.","As a new user, I want to be told I can add more ranches and locations later, so that I don't feel I must get everything perfect up front.  ||  Module: Authentication & Onboarding | Epic: 1.B Operation Setup Wizard | PRD Story #12 | Should-have",,1.B Operation Setup Wizard,Medium,Authentication & Onboarding,MVP,Should,PRD-S12,To Do
Story,"[S13] As a new user, I want an onboarding step to upload my spreadsheet (CSV/Excel or a Google Sheets export) to import my roster, so that I don't have to add animals one by one.","As a new user, I want an onboarding step to upload my spreadsheet (CSV/Excel or a Google Sheets export) to import my roster, so that I don't have to add animals one by one.  ||  Module: Authentication & Onboarding | Epic: 1.C Initial Roster Import | PRD Story #13 | Must-have",,1.C Initial Roster Import,High,Authentication & Onboarding,MVP,Must,PRD-S13,To Do
Story,"[S14] As a new user, I want to Skip the import step and add animals individually later, so that a messy spreadsheet never blocks me from getting started.","As a new user, I want to **Skip** the import step and add animals individually later, so that a messy spreadsheet never blocks me from getting started.  ||  Module: Authentication & Onboarding | Epic: 1.C Initial Roster Import | PRD Story #14 | Must-have",,1.C Initial Roster Import,High,Authentication & Onboarding,MVP,Must,PRD-S14,To Do
Story,"[S103] As a new user, after import I want a summary that surfaces any detected co-owners/investors in my sheet and lets me send them invites in one step, so that partners get connected right away.","As a new user, after import I want a summary that surfaces any **detected co-owners/investors** in my sheet and lets me send them invites in one step, so that partners get connected right away. *(Per Solution Lab 3.)*  ||  Module: Authentication & Onboarding | Epic: 1.C Initial Roster Import | PRD Story #103 | Should-have",,1.C Initial Roster Import,Medium,Authentication & Onboarding,MVP,Should,PRD-S103,To Do
Story,"[S16] As a user, I want plans to clearly show the yearly charge (with the monthly equivalent) and that I can upgrade anytime, so that I understand the real commitment before paying.","As a user, I want plans to clearly show the **yearly** charge (with the monthly equivalent) and that I can upgrade anytime, so that I understand the real commitment before paying. *(Sharpened per Design Reviews 2–3 — yearly billing must be explicit.)*  ||  Module: Subscription & Billing | Epic: 2.A Plan Selection | PRD Story #16 | Must-have",,2.A Plan Selection,High,Subscription & Billing,MVP,Must,PRD-S16,To Do
Story,"[S18] As a user, I want to toggle between the Owner and Partner plan views, so that I see the pricing relevant to my role.","As a user, I want to toggle between the Owner and Partner plan views, so that I see the pricing relevant to my role.  ||  Module: Subscription & Billing | Epic: 2.A Plan Selection | PRD Story #18 | Must-have",,2.A Plan Selection,High,Subscription & Billing,MVP,Must,PRD-S18,To Do
Story,"[S115] As a hesitant new user, I want a 30-day free trial before I'm charged, so that I can evaluate the product before committing.","As a hesitant new user, I want a **30-day free trial** before I'm charged, so that I can evaluate the product before committing. *(Confirmed call 2026-06-19 — 30 days over 7/15. Note: a trial start is a no-charge entry path, so it co-exists with the Story 19 removal; card-on-file mechanics in Open Q17.)*  ||  Module: Subscription & Billing | Epic: 2.A Plan Selection | PRD Story #115 | Must-have",,2.A Plan Selection,High,Subscription & Billing,MVP,Must,PRD-S115,To Do
Story,"[S20] As a user, I want to confirm my subscription and pay by card, so that I can activate my plan.","As a user, I want to confirm my subscription and pay by card, so that I can activate my plan.  ||  Module: Subscription & Billing | Epic: 2.B Checkout & Payment | PRD Story #20 | Must-have",,2.B Checkout & Payment,High,Subscription & Billing,MVP,Must,PRD-S20,To Do
Story,"[S21] As a user, I want a fast in-app payment — Apple in-app purchase on iOS, or card/Apple Pay on Android & web — so that checkout is quick on my device.","As a user, I want a fast in-app payment — Apple in-app purchase on iOS, or card/Apple Pay on Android & web — so that checkout is quick on my device. *(Reframed per call 2026-06-19: iOS subscriptions use Apple in-app purchase.)*  ||  Module: Subscription & Billing | Epic: 2.B Checkout & Payment | PRD Story #21 | Must-have",,2.B Checkout & Payment,High,Subscription & Billing,MVP,Must,PRD-S21,To Do
Story,"[S22] As a user, I want a clear summary of what I'm paying (""Pro plan — $99, billed yearly"") and reassurance I can cancel anytime, so that I pay with confidence.","As a user, I want a clear summary of what I'm paying (""Pro plan — $99, billed yearly"") and reassurance I can cancel anytime, so that I pay with confidence.  ||  Module: Subscription & Billing | Epic: 2.B Checkout & Payment | PRD Story #22 | Must-have",,2.B Checkout & Payment,High,Subscription & Billing,MVP,Must,PRD-S22,To Do
Story,"[S23] As a user, I want a receipt sent to my email after payment, so that I have a record.","As a user, I want a receipt sent to my email after payment, so that I have a record.  ||  Module: Subscription & Billing | Epic: 2.B Checkout & Payment | PRD Story #23 | Must-have",,2.B Checkout & Payment,High,Subscription & Billing,MVP,Must,PRD-S23,To Do
Story,"[S24] As a user, I want a ""Go back"" option at checkout, so that I can change my plan before paying.","As a user, I want a ""Go back"" option at checkout, so that I can change my plan before paying.  ||  Module: Subscription & Billing | Epic: 2.B Checkout & Payment | PRD Story #24 | Must-have",,2.B Checkout & Payment,High,Subscription & Billing,MVP,Must,PRD-S24,To Do
Story,"[S25] As a user, I want to see how many active animals I'm using against my plan limit (e.g., ""47 / 200"") with a usage bar, so that I know how much room I have.","As a user, I want to see how many active animals I'm using against my plan limit (e.g., ""47 / 200"") with a usage bar, so that I know how much room I have.  ||  Module: Subscription & Billing | Epic: 2.C Usage Limits & Upgrades | PRD Story #25 | Must-have",,2.C Usage Limits & Upgrades,High,Subscription & Billing,MVP,Must,PRD-S25,To Do
Story,"[S26] As a user, when I approach or exceed my active-animal limit I want to be alerted and prompted to upgrade — but never blocked; the action proceeds and any overage is added to my next bill.","As a user, when I approach or exceed my active-animal limit I want to be alerted and prompted to upgrade — but never blocked; the action proceeds and any overage is added to my next bill. *(Updated per Technical Considerations: over-limit is non-blocking with overage billing, not a hard stop.)*  ||  Module: Subscription & Billing | Epic: 2.C Usage Limits & Upgrades | PRD Story #26 | Must-have",,2.C Usage Limits & Upgrades,High,Subscription & Billing,MVP,Must,PRD-S26,To Do
Story,"[S27] As a user, I want to change my plan from settings, so that I can upgrade as my herd grows.","As a user, I want to change my plan from settings, so that I can upgrade as my herd grows.  ||  Module: Subscription & Billing | Epic: 2.C Usage Limits & Upgrades | PRD Story #27 | Must-have",,2.C Usage Limits & Upgrades,High,Subscription & Billing,MVP,Must,PRD-S27,To Do
Story,"[S28] As a user, I want to see my other usage (media storage used, number of team members), so that I understand the full picture of my account.","As a user, I want to see my other usage (media storage used, number of team members), so that I understand the full picture of my account.  ||  Module: Subscription & Billing | Epic: 2.C Usage Limits & Upgrades | PRD Story #28 | Should-have",,2.C Usage Limits & Upgrades,Medium,Subscription & Billing,MVP,Should,PRD-S28,To Do
Story,"[S29] As a user, I want to see a list of all animals I have access to immediately after login, so that the inventory is my home base.","As a user, I want to see a list of all animals I have access to immediately after login, so that the inventory is my home base.  ||  Module: Inventory Management | Epic: 3.A Roster & Search | PRD Story #29 | Must-have",,3.A Roster & Search,High,Inventory Management,MVP,Must,PRD-S29,To Do
Story,"[S30] As a user, I want each animal to appear once and be easy to recognize at a glance (name + Brand ID), so that I trust the list.","As a user, I want each animal to appear once and be easy to recognize at a glance (name + Brand ID), so that I trust the list.  ||  Module: Inventory Management | Epic: 3.A Roster & Search | PRD Story #30 | Must-have",,3.A Roster & Search,High,Inventory Management,MVP,Must,PRD-S30,To Do
Story,"[S31] As a user, I want to search the roster by name, Brand ID, and other key fields, so that I can find an animal without scrolling.","As a user, I want to search the roster by name, Brand ID, and other key fields, so that I can find an animal without scrolling.  ||  Module: Inventory Management | Epic: 3.A Roster & Search | PRD Story #31 | Must-have",,3.A Roster & Search,High,Inventory Management,MVP,Must,PRD-S31,To Do
Story,"[S32] As a user, I want to filter the roster by Type and Status (and more filters), so that I can narrow to the animals I care about.","As a user, I want to filter the roster by Type and Status (and more filters), so that I can narrow to the animals I care about.  ||  Module: Inventory Management | Epic: 3.A Roster & Search | PRD Story #32 | Must-have",,3.A Roster & Search,High,Inventory Management,MVP,Must,PRD-S32,To Do
Story,"[S33] As a user, I want a roster header summary (e.g., ""47 animals on your roster · 39 active · 8 inactive""), so that I understand my herd at a glance.","As a user, I want a roster header summary (e.g., ""47 animals on your roster · 39 active · 8 inactive""), so that I understand my herd at a glance.  ||  Module: Inventory Management | Epic: 3.A Roster & Search | PRD Story #33 | Must-have",,3.A Roster & Search,High,Inventory Management,MVP,Must,PRD-S33,To Do
Story,"[S34] As a user, I want the roster to stay fast and paginated with both small and large numbers of animals, so that performance never gets in my way.","As a user, I want the roster to stay fast and paginated with both small and large numbers of animals, so that performance never gets in my way.  ||  Module: Inventory Management | Epic: 3.A Roster & Search | PRD Story #34 | Must-have",,3.A Roster & Search,High,Inventory Management,MVP,Must,PRD-S34,To Do
Story,"[S35] As a user, I want to export my roster, so that I can use the data outside the product when needed.","As a user, I want to export my roster, so that I can use the data outside the product when needed.  ||  Module: Inventory Management | Epic: 3.A Roster & Search | PRD Story #35 | Should-have",,3.A Roster & Search,Medium,Inventory Management,MVP,Should,PRD-S35,To Do
Story,"[S36] As a user, I want to add a single animal quickly on web or mobile, where the only required fields are Brand ID and birth date, so that I can do it without help.","As a user, I want to add a single animal quickly on web or mobile, where the **only required fields are Brand ID and birth date**, so that I can do it without help. *(Required-field set specified per Solution Lab 2.)*  ||  Module: Inventory Management | Epic: 3.B Add & Edit Animals | PRD Story #36 | Must-have",,3.B Add & Edit Animals,High,Inventory Management,MVP,Must,PRD-S36,To Do
Story,"[S37] As a user, I want a newly added animal to appear in my inventory immediately, so that I trust it was saved.","As a user, I want a newly added animal to appear in my inventory immediately, so that I trust it was saved.  ||  Module: Inventory Management | Epic: 3.B Add & Edit Animals | PRD Story #37 | Must-have",,3.B Add & Edit Animals,High,Inventory Management,MVP,Must,PRD-S37,To Do
Story,"[S38] As a user, I want to edit an animal's details later, so that the record stays accurate over time.","As a user, I want to edit an animal's details later, so that the record stays accurate over time.  ||  Module: Inventory Management | Epic: 3.B Add & Edit Animals | PRD Story #38 | Must-have",,3.B Add & Edit Animals,High,Inventory Management,MVP,Must,PRD-S38,To Do
Story,"[S39] As a user, I want to record ownership and partnership for an animal (primary owner and ownership percentages), so that everyone's stake is documented.","As a user, I want to record ownership and partnership for an animal (primary owner and ownership percentages), so that everyone's stake is documented.  ||  Module: Inventory Management | Epic: 3.B Add & Edit Animals | PRD Story #39 | Must-have",,3.B Add & Edit Animals,High,Inventory Management,MVP,Must,PRD-S39,To Do
Story,"[S104] As a user, I want to set whether the animal is a cow or a bull and optionally record its ABBI number, so that the record reflects sex and registry identity.","As a user, I want to set whether the animal is a **cow or a bull** and optionally record its **ABBI number**, so that the record reflects sex and registry identity. *(Per Solution Lab 2 — ABBI number optional.)*  ||  Module: Inventory Management | Epic: 3.B Add & Edit Animals | PRD Story #104 | Must-have",,3.B Add & Edit Animals,High,Inventory Management,MVP,Must,PRD-S104,To Do
Story,"[S40] As a user, I want selecting an animal to open a dedicated profile, so that I have one place for everything about it.","As a user, I want selecting an animal to open a dedicated profile, so that I have one place for everything about it.  ||  Module: Inventory Management | Epic: 3.C Animal Profile (System of Record) | PRD Story #40 | Must-have",,3.C Animal Profile (System of Record),High,Inventory Management,MVP,Must,PRD-S40,To Do
Story,"[S41] As a user, I want the profile header to show the animal's name, Brand ID, status, and a hero image, so that I instantly recognize the animal.","As a user, I want the profile header to show the animal's name, Brand ID, status, and a hero image, so that I instantly recognize the animal.  ||  Module: Inventory Management | Epic: 3.C Animal Profile (System of Record) | PRD Story #41 | Must-have",,3.C Animal Profile (System of Record),High,Inventory Management,MVP,Must,PRD-S41,To Do
Story,"[S42] As a user, I want an Ownership section showing each owner, their role, and their ownership percentage, so that every stake is clear at a glance.","As a user, I want an Ownership section showing each owner, their role, and their ownership percentage, so that every stake is clear at a glance.  ||  Module: Inventory Management | Epic: 3.C Animal Profile (System of Record) | PRD Story #42 | Must-have",,3.C Animal Profile (System of Record),High,Inventory Management,MVP,Must,PRD-S42,To Do
Story,"[S43] As a user, I want a Lineage section showing sire and dam, so that I and my partners can review bloodline.","As a user, I want a Lineage section showing sire and dam, so that I and my partners can review bloodline.  ||  Module: Inventory Management | Epic: 3.C Animal Profile (System of Record) | PRD Story #43 | Must-have",,3.C Animal Profile (System of Record),High,Inventory Management,MVP,Must,PRD-S43,To Do
Story,"[S95] As a user, I want the profile to be the anchor for all of that animal's media, with a Recent media gallery and a ""view all"", so that media never gets disconnected from the animal.","As a user, I want the profile to be the anchor for all of that animal's media, with a Recent media gallery and a ""view all"", so that media never gets disconnected from the animal.  ||  Module: Inventory Management | Epic: 3.C Animal Profile (System of Record) | PRD Story #95 | Must-have",,3.C Animal Profile (System of Record),High,Inventory Management,MVP,Must,PRD-S95,To Do
Story,"[S96] As a user, I want the profile to remain consistent and identifiable over time, even when ownership changes, so that history is never lost.","As a user, I want the profile to remain consistent and identifiable over time, even when ownership changes, so that history is never lost.  ||  Module: Inventory Management | Epic: 3.C Animal Profile (System of Record) | PRD Story #96 | Must-have",,3.C Animal Profile (System of Record),High,Inventory Management,MVP,Must,PRD-S96,To Do
Story,"[S97] As a user, I want a Performance section with a headline score, so that I can gauge the animal's standing quickly.","As a user, I want a Performance section with a headline score, so that I can gauge the animal's standing quickly.  ||  Module: Inventory Management | Epic: 3.C Animal Profile (System of Record) | PRD Story #97 | Should-have",,3.C Animal Profile (System of Record),Medium,Inventory Management,MVP,Should,PRD-S97,To Do
Story,"[S98] As a user, I want a Competition history list (event, date, score) on the profile, so that I can follow how the animal has performed.","As a user, I want a Competition history list (event, date, score) on the profile, so that I can follow how the animal has performed. *(Earnings/money columns deferred — post-MVP.)*  ||  Module: Inventory Management | Epic: 3.C Animal Profile (System of Record) | PRD Story #98 | Should-have",,3.C Animal Profile (System of Record),Medium,Inventory Management,MVP,Should,PRD-S98,To Do
Story,"[S99] As a user, I want a Notes & comments thread on the profile, so that stakeholders can discuss the animal in context (ties to Story 64).","As a user, I want a Notes & comments thread on the profile, so that stakeholders can discuss the animal in context (ties to Story 64).  ||  Module: Inventory Management | Epic: 3.C Animal Profile (System of Record) | PRD Story #99 | Should-have",,3.C Animal Profile (System of Record),Medium,Inventory Management,MVP,Should,PRD-S99,To Do
Story,"[S100] As a user, I want a quick-actions rail on the profile (add event, update status, upload media), so that I can act without leaving the page.","As a user, I want a quick-actions rail on the profile (add event, update status, upload media), so that I can act without leaving the page.  ||  Module: Inventory Management | Epic: 3.C Animal Profile (System of Record) | PRD Story #100 | Should-have",,3.C Animal Profile (System of Record),Medium,Inventory Management,MVP,Should,PRD-S100,To Do
Story,"[S45] As a user, I want a guided template that tells me what columns are expected, so that my spreadsheet imports cleanly.","As a user, I want a guided template that tells me what columns are expected, so that my spreadsheet imports cleanly.  ||  Module: Inventory Management | Epic: 3.D Bulk Import | PRD Story #45 | Must-have",,3.D Bulk Import,High,Inventory Management,MVP,Must,PRD-S45,To Do
Story,"[S46] As a user, I want the system to flag duplicate or colliding Brand IDs during import and let me resolve them, so that I don't create conflicting records.","As a user, I want the system to flag duplicate or colliding Brand IDs during import and let me resolve them, so that I don't create conflicting records.  ||  Module: Inventory Management | Epic: 3.D Bulk Import | PRD Story #46 | Must-have",,3.D Bulk Import,High,Inventory Management,MVP,Must,PRD-S46,To Do
Story,"[S47] As a user, I want to see which rows imported successfully and which need attention, so that I trust the result and can fix problems.","As a user, I want to see which rows imported successfully and which need attention, so that I trust the result and can fix problems.  ||  Module: Inventory Management | Epic: 3.D Bulk Import | PRD Story #47 | Must-have",,3.D Bulk Import,High,Inventory Management,MVP,Must,PRD-S47,To Do
Story,"[S48] As a user, I want to import from both the onboarding wizard and from inside Inventory later, so that I can grow my roster anytime.","As a user, I want to import from both the onboarding wizard and from inside Inventory later, so that I can grow my roster anytime.  ||  Module: Inventory Management | Epic: 3.D Bulk Import | PRD Story #48 | Should-have",,3.D Bulk Import,Medium,Inventory Management,MVP,Should,PRD-S48,To Do
Story,"[S49] As a user, I want to multi-select animals and update their status in bulk, so that I can manage the herd efficiently.","As a user, I want to multi-select animals and update their status in bulk, so that I can manage the herd efficiently.  ||  Module: Inventory Management | Epic: 3.E Bulk Actions & Lifecycle | PRD Story #49 | Must-have",,3.E Bulk Actions & Lifecycle,High,Inventory Management,MVP,Must,PRD-S49,To Do
Story,"[S50] As a user, I want to multi-select animals to add tags, add them to an event, or change their location in bulk, so that I save time on repetitive actions.","As a user, I want to multi-select animals to add tags, add them to an event, or **change their location** in bulk, so that I save time on repetitive actions. *(Change-location added per Design Review 3 — ""round them up and take them to another field."")*  ||  Module: Inventory Management | Epic: 3.E Bulk Actions & Lifecycle | PRD Story #50 | Must-have",,3.E Bulk Actions & Lifecycle,High,Inventory Management,MVP,Must,PRD-S50,To Do
Story,"[S105] As a user, I want my multi-select to persist as I move between paginated pages, so that I can act on a large set without losing my selection.","As a user, I want my multi-select to **persist as I move between paginated pages**, so that I can act on a large set without losing my selection. *(Per Design Review 2.)*  ||  Module: Inventory Management | Epic: 3.E Bulk Actions & Lifecycle | PRD Story #105 | Must-have",,3.E Bulk Actions & Lifecycle,High,Inventory Management,MVP,Must,PRD-S105,To Do
Story,"[S51] As a user, I want sold/retired animals to remain viewable as ""ghost inventory"" rather than disappearing, so that I keep their history.","As a user, I want sold/retired animals to remain viewable as ""ghost inventory"" rather than disappearing, so that I keep their history.  ||  Module: Inventory Management | Epic: 3.E Bulk Actions & Lifecycle | PRD Story #51 | Must-have",,3.E Bulk Actions & Lifecycle,High,Inventory Management,MVP,Must,PRD-S51,To Do
Story,"[S52] As a user, I want system-critical statuses (Active, Sold, Retired, In Care/Inactive) to be protected from deletion, so that the lifecycle stays consistent.","As a user, I want system-critical statuses (Active, Sold, Retired, In Care/Inactive) to be protected from deletion, so that the lifecycle stays consistent.  ||  Module: Inventory Management | Epic: 3.E Bulk Actions & Lifecycle | PRD Story #52 | Must-have",,3.E Bulk Actions & Lifecycle,High,Inventory Management,MVP,Must,PRD-S52,To Do
Story,"[S53] As a rancher, I want to capture photos and videos with a point-and-shoot camera directly in the app, so that I don't fill up my personal phone storage.","As a rancher, I want to capture photos and videos with a point-and-shoot camera directly in the app, so that I don't fill up my personal phone storage.  ||  Module: Media Management | Epic: 4.A Capture & Upload | PRD Story #53 | Must-have",,4.A Capture & Upload,High,Media Management,MVP,Must,PRD-S53,To Do
Story,"[S54] As a user, I want to upload photos and videos and add external links (YouTube/Instagram/URL) as media, from web and mobile, so that I can add media however I work.","As a user, I want to upload photos and videos and add **external links (YouTube/Instagram/URL)** as media, from web and mobile, so that I can add media however I work. *(External links per Solution Lab 1/2.)*  ||  Module: Media Management | Epic: 4.A Capture & Upload | PRD Story #54 | Must-have",,4.A Capture & Upload,High,Media Management,MVP,Must,PRD-S54,To Do
Story,"[S55] As a user, I want each piece of media to be associated with the correct animal, so that it's never orphaned.","As a user, I want each piece of media to be associated with the correct animal, so that it's never orphaned.  ||  Module: Media Management | Epic: 4.A Capture & Upload | PRD Story #55 | Must-have",,4.A Capture & Upload,High,Media Management,MVP,Must,PRD-S55,To Do
Story,"[S106] As a user, I want to delete media I've uploaded, so that I can remove mistakes or unwanted items.","As a user, I want to **delete media I've uploaded**, so that I can remove mistakes or unwanted items. *(Per Solution Lab 4 — Must.)*  ||  Module: Media Management | Epic: 4.A Capture & Upload | PRD Story #106 | Must-have",,4.A Capture & Upload,High,Media Management,MVP,Must,PRD-S106,To Do
Story,"[S56] As a rancher in a pasture with no signal, I want my captured media and its details saved to a local retry queue, so that nothing is lost.","As a rancher in a pasture with no signal, I want my captured media and its details saved to a local retry queue, so that nothing is lost.  ||  Module: Media Management | Epic: 4.B Offline Reliability | PRD Story #56 | Must-have",,4.B Offline Reliability,High,Media Management,MVP,Must,PRD-S56,To Do
Story,"[S57] As a rancher, I want queued media to upload automatically once I'm back in service, so that I don't have to remember to retry.","As a rancher, I want queued media to upload automatically once I'm back in service, so that I don't have to remember to retry.  ||  Module: Media Management | Epic: 4.B Offline Reliability | PRD Story #57 | Must-have",,4.B Offline Reliability,High,Media Management,MVP,Must,PRD-S57,To Do
Story,"[S58] As a rancher, I want to see the status of pending uploads (queued / uploading / done), so that I trust everything made it.","As a rancher, I want to see the status of pending uploads (queued / uploading / done), so that I trust everything made it.  ||  Module: Media Management | Epic: 4.B Offline Reliability | PRD Story #58 | Must-have",,4.B Offline Reliability,High,Media Management,MVP,Must,PRD-S58,To Do
